,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video
0,Điện thoại công chúa kèm kính,₫18.000,None,Điện Thoại & Phụ Kiện/Điện thoại/Khác,72,32,4.7,5 Sao (13),4 Sao (2),3 Sao (0),2 Sao (1),1 Sao (0),16,Có Bình luận (4),Có hình ảnh / video (4)
1,"Điện Thoại Nokia 6300 Siêu Bền, Pin Sạc Đầy Đủ",₫309.000 - ₫319.000,nokia,Điện Thoại & Phụ Kiện/Điện thoại/Nokia,584,59,4.7,5 Sao (148),4 Sao (11),3 Sao (6),2 Sao (4),1 Sao (6),175,Có Bình luận (90),Có hình ảnh / video (52)
2,Dây Đeo Điện Thoại / Airpods Hình Hoa / Trái Tim Xinh Xắn Chống Rơi Tiện Dụng,₫15.000 - ₫19.900,None,Điện Thoại & Phụ Kiện/Đế giữ điện thoại/Dây đeo điện thoại và móc khóa,311,49216,4.8,5 Sao (52),4 Sao (1),3 Sao (0),2 Sao (1),1 Sao (2),54,Có Bình luận (29),Có hình ảnh / video (27)
3,"Điện Thoại Samsung Galaxy y S5360/Hỗ trợ 3G,Wifi",₫280.000 - ₫319.000,None,Điện Thoại & Phụ Kiện/Điện thoại/Khác,140,2,4.5,5 Sao (45),4 Sao (5),3 Sao (4),2 Sao (2),1 Sao (3),59,Có Bình luận (43),Có hình ảnh / video (29)
4,Điện thoại mini BM10 2sim,₫170.000 - ₫179.999,2Good,Điện Thoại & Phụ Kiện/Điện thoại/Khác,"2,1k",129,4.9,5 Sao (463),4 Sao (20),3 Sao (5),2 Sao (3),1 Sao (4),495,Có Bình luận (252),Có hình ảnh / video (197)
5,""" Sở hữu điện thoại Samsung galaxy Z Flip 3 5G chọn màu ngẫu nhiên """,₫39.000,SAMSUNG,Điện Thoại & Phụ Kiện/Điện thoại/Samsung,63,1584,3.5,5 Sao (10),4 Sao (0),3 Sao (1),2 Sao (0),1 Sao (6),17,Có Bình luận (8),Có hình ảnh / video (1)
6,Chuyên sỉ [HÀNG CHÍNH HÃNG]Điện thoại 1280 đầy đủ phụ kiện,₫219.000,nokia,Điện Thoại & Phụ Kiện/Điện thoại/Nokia,260,891,4.8,5 Sao (30),4 Sao (2),3 Sao (2),2 Sao (0),1 Sao (0),34,Có Bình luận (18),Có hình ảnh / video (12)
7,ĐIỆN THOẠI NOKIA 6300 CHÍNH HÃNG SIÊU BỀN BẢO HÀNH 18 THÁNG Có imeil trùng,₫250.000 - ₫450.000,nokia,Điện Thoại & Phụ Kiện/Điện thoại/Nokia,455,405,4.6,5 Sao (134),4 Sao (11),3 Sao (4),2 Sao (2),1 Sao (10),161,Có Bình luận (87),Có hình ảnh / video (47)
8,"Điện thoại Nokia X1[HÀNG CHÍNH HÃNG] gồm đủ pin,sạc",₫300.000,None,Điện Thoại & Phụ Kiện/Điện thoại/Khác,83,5,4.6,5 Sao (23),4 Sao (0),3 Sao (1),2 Sao (0),1 Sao (2),26,Có Bình luận (17),Có hình ảnh / video (10)
9,"[Ram 8Gb/256Gb]🎁BH VIP 12T🎁Realme GT Neo 2 5G - S870, Sạc 65W-Điện thoại Màn hình Amoled 120hz - Pin 5000 mAh",₫6.470.000 - ₫6.550.000,Realme,Điện Thoại & Phụ Kiện/Điện thoại/Realme,224,21,5.0,5 Sao (110),4 Sao (5),3 Sao (0),2 Sao (0),1 Sao (0),115,Có Bình luận (69),Có hình ảnh / video (54)
10,ĐIỆN THOẠI NOKIA 6300 CHÍNH HÃNG SIÊU BỀN BẢO HÀNH 18 THÁNG Có imeil trùng,₫279.000 - ₫349.000,None,Điện Thoại & Phụ Kiện/Điện thoại/Khác,"7,1k",29965,4.5,5 Sao (17),4 Sao (1),3 Sao (0),2 Sao (0),1 Sao (2),20,Có Bình luận (12),Có hình ảnh / video (9)
11,Điện thoại NOKIA 3310 Chính Hãng Siêu Bền Bảo Hành 12 Tháng,₫235.000 - ₫295.000,nokia,Điện Thoại & Phụ Kiện/Điện thoại/Nokia,41,13,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),13,Có Bình luận (0),Có hình ảnh / video (0)
