,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video
0,BALO đi học thời trang nam nữ ULZZANG BASIC chống nước nhiều ngăn đựng Mã 093,₫147.000,None,Balo & Túi Ví Nam/Ba Lô Nam,742,93,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),237,Có Bình luận (0),Có hình ảnh / video (0)
1,"BALO học sinh, sinh viên đi học",₫150.000 - ₫155.000,None,Balo & Túi Ví Nam/Ba Lô Nam,861,411,4.9,5 Sao (385),4 Sao (13),3 Sao (4),2 Sao (0),1 Sao (4),406,Có Bình luận (274),Có hình ảnh / video (236)
2,BALO VẢI BỐ - BÒ SỮA,₫45.000,None,Balo & Túi Ví Nam/Ba Lô Nam,100,15,4.4,5 Sao (20),4 Sao (1),3 Sao (5),2 Sao (1),1 Sao (1),28,Có Bình luận (10),Có hình ảnh / video (9)
3,Balo da pu nam nữ siêu mềm chuẩn cao cấp,₫209.000,None,Túi Ví Nữ/Ba Lô Nữ,953,5,4.9,5 Sao (47),4 Sao (3),3 Sao (2),2 Sao (0),1 Sao (0),52,Có Bình luận (32),Có hình ảnh / video (24)
4,Balo Teen Ô VUÔNG Phong Cách (Size 40-30cm),₫38.000,None,Balo & Túi Ví Nam/Ba Lô Nam,89,212,4.7,5 Sao (32),4 Sao (6),3 Sao (2),2 Sao (0),1 Sao (1),41,Có Bình luận (14),Có hình ảnh / video (8)
5,[Tặng Sticker] Balo MRMI BaloMe kiểu dáng ulzzang bảo hành 1 năm,₫106.000 - ₫168.000,None,Túi Ví Nữ/Ba Lô Nữ,"8,3k",6740,4.9,"5 Sao (3,5k)",4 Sao (104),3 Sao (42),2 Sao (10),1 Sao (7),"3,7k","Có Bình luận (2,4k)","Có hình ảnh / video (2,2k)"
6,Balo Edmond Masion chính hãng (có sẵn),₫599.000 - ₫610.000,None,Balo & Túi Ví Nam/Ba Lô Nam,"1,7k",99,5.0,5 Sao (662),4 Sao (3),3 Sao (2),2 Sao (0),1 Sao (0),667,Có Bình luận (417),Có hình ảnh / video (350)
7,"Balo banawa xám loang, hồng loang, xanh loang (chuẩn cao cấp 1-1) (tặng full tag và giấy thơm) vukita157",₫169.999,None,Balo & Túi Ví Nam/Ba Lô Nam,102,4954,4.7,5 Sao (40),4 Sao (2),3 Sao (0),2 Sao (2),1 Sao (2),46,Có Bình luận (29),Có hình ảnh / video (17)
8,Balo cao cấp HEINEKEN,₫210.000,None,Balo & Túi Ví Nam/Ba Lô Nam,216,15,5.0,5 Sao (51),4 Sao (1),3 Sao (0),2 Sao (0),1 Sao (0),52,Có Bình luận (15),Có hình ảnh / video (16)
9,Balo Nam Nữ Chất liệu Chống thấm nước DIM Explorer Backpack,₫375.000,DIM,Balo & Túi Ví Nam/Ba Lô Laptop Nam,"6,5k",930,4.9,"5 Sao (2,8k)",4 Sao (95),3 Sao (12),2 Sao (3),1 Sao (6),"2,9k","Có Bình luận (1,8k)","Có hình ảnh / video (1,5k)"
