,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video
0,"Quần jean ống rộng QJD02 Đen baddoris, quần bò dài Unisex thời trang teen",₫23.000 - ₫115.000,None,Thời Trang Nữ/Quần jeans,"3,2k",502033,5.0,5 Sao (9),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),9,Có Bình luận (8),Có hình ảnh / video (6)
1,Set Đầm Yếm Ôm Dáng + Áo Sơ Mi Size Lớn Thời Trang Cho Nữ,₫153.759 - ₫251.194,None,Thời Trang Nữ/Đầm/Váy,261,0,4.5,5 Sao (87),4 Sao (6),3 Sao (8),2 Sao (4),1 Sao (6),111,Có Bình luận (51),Có hình ảnh / video (30)
2,Áo Chiffon Tay Ngắn Phồng Thời Trang Mùa Hè Dành Cho Nữ,₫200.000,None,Thời Trang Nữ/Áo/Áo thun,229,679,4.9,5 Sao (38),4 Sao (2),3 Sao (1),2 Sao (0),1 Sao (0),41,Có Bình luận (17),Có hình ảnh / video (12)
3,"Bộ đồ nữ, Sét trang phục thể thao dài tay, phong cách trẻ trung năng động",₫155.000 - ₫162.500,None,Thời Trang Nữ/Bộ/Đồ lẻ,365,2644,4.5,5 Sao (55),4 Sao (9),3 Sao (3),2 Sao (6),1 Sao (1),74,Có Bình luận (37),Có hình ảnh / video (20)
4,Áo Thun Tay Ngắn Họa Tiết Sọc Ngang Thời Trang Dành Cho Nữ,₫158.000,None,Thời Trang Nữ/Áo/Áo thun,633,None,4.6,5 Sao (134),4 Sao (14),3 Sao (9),2 Sao (4),1 Sao (7),168,Có Bình luận (72),Có hình ảnh / video (49)
5,"[CÓ SẴN] Áo nữ SHEIN EZwear, Áo crop top phong cách BOHO, cách điệu, nhiều màu, kiểu mẫu Paisley",₫107.000,SHEIN,Thời Trang Nữ/Áo/Áo thun,77,5,5.0,5 Sao (10),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),10,Có Bình luận (10),Có hình ảnh / video (10)
6,"Áo thun nam nữ unisex Snoop Dog pingpoongza, áo phông form rộng cổ tròn hottrend",₫11.000 - ₫55.000,None,Thời Trang Nữ/Áo/Áo thun,"3,4k",138323,3.4,5 Sao (27),4 Sao (4),3 Sao (1),2 Sao (1),1 Sao (18),51,Có Bình luận (28),Có hình ảnh / video (13)
7,Đầm Dài Cổ Chữ V In Họa Tiết Hoa Nhí Xinh Xắn Thời Trang Hè Phong Cách Trung Hoa Cho Nữ,₫102.600,None,Thời Trang Nữ/Đầm/Váy,18,4969,4.4,5 Sao (3),4 Sao (1),3 Sao (1),2 Sao (0),1 Sao (0),5,Có Bình luận (2),Có hình ảnh / video (1)
8,Áo len mịn cổ lọ 3 phân tay bồng lỡ - Có kèm hình ảnh thật 100% do chính tay shop chụp,₫89.000,None,Thời Trang Nữ/Áo len & Cardigan,284,3027,4.7,5 Sao (48),4 Sao (7),3 Sao (6),2 Sao (0),1 Sao (0),61,Có Bình luận (33),Có hình ảnh / video (19)
9,Bộ Đồ Thể Thao Áo Thun Tay Ngắn Cổ Tròn Phối Quần Ống Rộng Thêu Hình Gấu Hồng Thời Trang Cho Nữ,₫115.000,None,Thời Trang Nữ/Bộ/Đồ lẻ,959,6817,4.3,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),213,Có Bình luận (0),Có hình ảnh / video (0)
10,SÉT BỘ THỂ THAO BLING SẴN HÀNG 1111lt,₫50.000 - ₫117.000,None,Thời Trang Nữ/Bộ/Đồ lẻ,539,597,4.8,5 Sao (141),4 Sao (11),3 Sao (4),2 Sao (0),1 Sao (2),158,Có Bình luận (63),Có hình ảnh / video (47)
11,Áo Len Quảng Châu Cổ U Tay Dài Siêu Xinh,₫88.000 - ₫89.000,None,Thời Trang Nữ/Áo len & Cardigan,90,22,4.5,5 Sao (24),4 Sao (2),3 Sao (1),2 Sao (1),1 Sao (2),30,Có Bình luận (14),Có hình ảnh / video (12)
12,"Áo khoác KHN3, áo hoodie nỉ nam nữ trơn có khóa nhiều màu",₫99.000,None,"Thời Trang Nữ/Áo khoác, Áo choàng & Vest/Áo khoác ngoài",555,2884,3.4,5 Sao (18),4 Sao (6),3 Sao (5),2 Sao (2),1 Sao (11),42,Có Bình luận (24),Có hình ảnh / video (11)
13,"Quần Nỉ Nhung Tăm loại 1 phong cách Jogger bo gấu dày dặn thời trang HOMEDESIGN QN01 siêu cute, siêu hot 2022",₫119.000,None,Thời Trang Nữ/Quần/Quần dài,414,23986,5.0,5 Sao (2),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),2,Có Bình luận (2),Có hình ảnh / video (0)
14,"Quần bò nữ, Quần Baggy jean nữ lưng cao phong cách, Cạp quần cao vừa phải chất bò mịn đẹp Cherry T019",₫99.000 - ₫150.000,None,Thời Trang Nữ/Quần jeans,"15,7k",16385,4.7,5 Sao (5k),4 Sao (474),3 Sao (227),2 Sao (86),1 Sao (135),"5,9k","Có Bình luận (3,6k)","Có hình ảnh / video (2,8k)"
15,Áo dệt kim tay lửng vải lụa mát mỏng thời trang mùa hè mới 2022 cho nữ,₫144.700 - ₫166.100,None,Thời Trang Nữ/Áo/Áo sơ mi,378,25042,4.8,5 Sao (115),4 Sao (14),3 Sao (3),2 Sao (1),1 Sao (1),134,Có Bình luận (58),Có hình ảnh / video (41)
16,Đầm Chiffon Dáng Dài Cỡ Lớn Thời Trang Mùa Hè 2022 Mới Cho Nữ,₫79.000,None,Thời Trang Nữ/Đầm/Váy,128,None,4.1,5 Sao (21),4 Sao (4),3 Sao (3),2 Sao (2),1 Sao (4),34,Có Bình luận (17),Có hình ảnh / video (7)
17,Áo thun tay lỡ form rộng áo phông nam nữ CAMA STORE M390,₫37.950,None,Thời Trang Nữ/Áo/Áo thun,"3,7k",3753,4.7,5 Sao (927),4 Sao (107),3 Sao (45),2 Sao (15),1 Sao (23),"1,1k",Có Bình luận (528),Có hình ảnh / video (263)
18,Set Áo Thun Tay Ngắn Dáng Rộng Phối Chân Váy Thời Trang 2022 Mới Cho Nữ,₫160.000,None,Thời Trang Nữ/Bộ/Đồ lẻ,219,None,4.5,5 Sao (70),4 Sao (7),3 Sao (2),2 Sao (3),1 Sao (5),87,Có Bình luận (49),Có hình ảnh / video (35)
19,"Hàng TK Set áo ống cúp ngực dây kéo kèm quần ngắn trắng đen, bộ thời trang nữ đi chơi dạo phố dự tiệc sang trọng",₫213.750,None,Thời Trang Nữ/Bộ/Đồ lẻ,256,329,4.7,5 Sao (58),4 Sao (3),3 Sao (2),2 Sao (2),1 Sao (2),67,Có Bình luận (40),Có hình ảnh / video (33)
