,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video
0,Quần tây đen công sở nữ dài 2 khuy bấm mặc đi làm học cạp lưng cao - Dáng quần baggy công sở dày mềm phối áo sơ mi_m037,₫63.000,None,Thời Trang Nữ/Quần/Quần dài,"9,4k",95959,4.9,"5 Sao (2,4k)",4 Sao (70),3 Sao (18),2 Sao (7),1 Sao (10),"2,5k","Có Bình luận (1,3k)","Có hình ảnh / video (1,1k)"
1,"❤️CÓ BIGSIZE TỚI 85KG❤️ Đồ bộ nữ quần đùi thun cotton co giãn Set đồ bộ nữ đồ mặc nhà, đi chơi bigsize (45-85kg)B01",₫75.000 - ₫95.000,None,Thời Trang Nữ/Bộ/Đồ lẻ,"2,1k",1782,4.9,5 Sao (14),4 Sao (0),3 Sao (1),2 Sao (0),1 Sao (0),15,Có Bình luận (9),Có hình ảnh / video (7)
2,"[ CÓ BÁN SỈ ] Bộ len tăm giữ nhiệt, áo len nữ, bộ quần áo thu đông nữ,bộ ngủ dài tay HENNY ROE BLT140",₫47.900,None,Thời Trang Nữ/Đồ ngủ/Pyjama,"1,3k",61288,4.6,5 Sao (168),4 Sao (15),3 Sao (9),2 Sao (9),1 Sao (8),209,Có Bình luận (114),Có hình ảnh / video (83)
3,Đồ bộ trung niên mặc nhà Thu Hà quần áo thu đông tặng mẹ chất liệu Nhung Tuyết dày dặn ấm áp ĐBH.20,₫215.000 - ₫219.000,None,Thời Trang Nữ/Bộ/Đồ lẻ,378,15468,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),109,Có Bình luận (0),Có hình ảnh / video (0)
4,[ Rẻ vô địch ] Set bộ áo thun polo mix quần đùi - Battle,₫67.000,None,Thời Trang Nữ/Bộ/Đồ lẻ,"1,6k",35,4.6,5 Sao (413),4 Sao (73),3 Sao (35),2 Sao (7),1 Sao (17),545,Có Bình luận (293),Có hình ảnh / video (158)
5,Quần ống rộng thắt dây nơ vải Ruby cao cấp dài 100cm siêu hot M015,₫62.000,None,Thời Trang Nữ/Quần/Quần dài,"44,5k",None,4.7,"5 Sao (11,5k)","4 Sao (1,2k)",3 Sao (514),2 Sao (175),1 Sao (185),"13,6k","Có Bình luận (8,6k)","Có hình ảnh / video (6,9k)"
6,"Đồ Bộ Lửng Nữ Mặc Nhà, Bộ Ngủ Cotton Mát Thời Trang Forever With Love M01",₫134.000 - ₫160.000,None,Thời Trang Nữ/Đồ ngủ/Pyjama,547,1624,4.7,5 Sao (101),4 Sao (15),3 Sao (8),2 Sao (2),1 Sao (1),127,Có Bình luận (72),Có hình ảnh / video (47)
7,Sét áo mây looking+quần kẻ xanh ngọc,₫57.000,None,Thời Trang Nữ/Quần/Quần dài,890,979,4.8,5 Sao (294),4 Sao (35),3 Sao (14),2 Sao (6),1 Sao (1),350,Có Bình luận (136),Có hình ảnh / video (84)
8,Bộ pijama Kate Tay Dài Bộ Ngủ Mặc Nhà Dễ Thương,₫46.000 - ₫50.000,None,Thời Trang Nữ/Đồ ngủ/Pyjama,"2,7k",3484,4.6,5 Sao (602),4 Sao (64),3 Sao (44),2 Sao (17),1 Sao (28),754,Có Bình luận (438),Có hình ảnh / video (340)
9,"ÁO THUN NỮ UNISEX FORM RỘNG, TAY LỠ DẤU QUẦN, THÊU HÌNH GẤU BURBERRY MỀM MỊN KHÔNG XÙ",₫69.000,None,Thời Trang Nữ/Áo/Áo thun,7,39994,3.5,5 Sao (1),4 Sao (0),3 Sao (0),2 Sao (1),1 Sao (0),2,Có Bình luận (2),Có hình ảnh / video (1)
