,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video
0,"Quần jean nam, xanh, đen, xám, chất bò dáng xuông đứng HELLOYOU. Quần baggy nam, jeans, ống suông rộng Hottrend 2022",₫155.000,None,Thời Trang Nam/Quần Jeans,100k,None,4.9,"5 Sao (33,4k)","4 Sao (2,5k)",3 Sao (449),2 Sao (105),1 Sao (161),"36,6k","Có Bình luận (17,2k)",Có hình ảnh / video (12k)
1,Quần Short Lưới Xuyên Thấu Gợi Cảm Đi Ngủ Cho Nam,₫114.987 - ₫126.287,None,Thời Trang Nam/Quần Short/Quần Đùi/Quần Short,9,19932,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),1,Có Bình luận (0),Có hình ảnh / video (0)
2,"Quần dài Polyester Trơn MSW Town , trackpant nam nữ Unisex thời trang Hàn quốc TETTET.unisex",₫89.000,None,Thời Trang Nam/Quần Dài/Quần Âu/Quần Dài,"1,9k",None,4.6,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),574,Có Bình luận (0),Có hình ảnh / video (0)
3,"Áo sơ mi nam dài tay Urano cổ bẻ, áo sơ mi vải lụa nến không nhăn không xù cao cấp",₫74.000,None,Thời Trang Nam/Áo/Áo Sơ Mi,"26,1k",144751,4.8,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),"6,8k",Có Bình luận (0),Có hình ảnh / video (0)
4,"Quần jean nam rách gối màu đen, xanh chất bò cao cấp from dáng suông rộng, phong cách Hàn Quốc Hot Trend 2022!",₫125.000,None,Thời Trang Nam/Quần Jeans,"5,8k",None,4.7,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),"1,7k",Có Bình luận (0),Có hình ảnh / video (0)
5,Quần jean baggy nam rách trắng đen 2 gối gấu ống suông rộng chất vải bò cao cấp RG01 Ullzang hàn quốc Helloyou 2022,₫155.000,None,Thời Trang Nam/Quần Jeans,"5,4k",None,4.8,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),"1,8k",Có Bình luận (0),Có hình ảnh / video (0)
6,"Quần short thun nam thể thao, quần đùi nam mặc nhà đi chơi tập gym-DUI01",₫50.400,None,Thời Trang Nam/Quần Short/Quần Đùi/Quần Short,16k,None,4.9,"5 Sao (2,6k)",4 Sao (151),3 Sao (57),2 Sao (19),1 Sao (23),"2,9k","Có Bình luận (1,4k)","Có hình ảnh / video (1,1k)"
7,Áo Sơ Mi Cotton Lanh Tay Lửng Ba Màu Sắc Hợp Thời Trang Mùa Hè Cho Nam,₫144.000,None,Thời Trang Nam/Áo/Áo Sơ Mi,91,None,4.9,5 Sao (34),4 Sao (3),3 Sao (1),2 Sao (0),1 Sao (1),33,Có Bình luận (22),Có hình ảnh / video (18)
8,"Áo thun polo nam có cổ cao cấp, màu kem phối viền sang trọng, Leevus Basis APL177",₫269.000,Leevus,Thời Trang Nam/Áo/Áo Polo,"8,7k",49,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),"3,5k",Có Bình luận (0),Có hình ảnh / video (0)
9,"Áo Polo nam ROWAY cotton thoáng mát, thấm hút, không nhăn form regular, polo phối vai",₫189.000,ROWAY,Thời Trang Nam/Áo/Áo Polo,2k,2216,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),641,Có Bình luận (0),Có hình ảnh / video (0)
10,"Quần âu nam cạp cao hàn quốc có đai chỉnh eo Sidetab dáng baggy, quần tây nam đen ống côn vải tuyết mưa VINTINO QAK",₫139.000,None,Thời Trang Nam/Quần Dài/Quần Âu/Quần Âu,"7,2k",6597,4.9,"5 Sao (1,8k)",4 Sao (134),3 Sao (35),2 Sao (8),1 Sao (18),2k,Có Bình luận (941),Có hình ảnh / video (617)
11,Quần Đùi Nam BIG SIZE  FASVIN Từ 80 Đến 120KG Vải Gió Đẹp Hàng Nhà Máy Dùng Khi Thể Thao Hay Mặc Nhà D22173.SG,₫119.000,FASVIN,Thời Trang Nam/Quần Short/Quần Đùi/Quần Short,437,3046,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),89,Có Bình luận (0),Có hình ảnh / video (0)
12,"Áo Sơ Mi Nam Phi Công Ngắn Tay Lịch Lãm, Áo Cơ Trưởng Cao cấp Thời Trang Nam SM01",₫219.000,None,Thời Trang Nam/Áo/Áo Sơ Mi,52,22,4.6,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),12,Có Bình luận (0),Có hình ảnh / video (0)
13,Áo Polo local brand Hà Nội Puzzle Polo By UniSpace,₫208.000,By UniSpace,Thời Trang Nam/Áo/Áo Polo,"9,4k",213,4.9,"5 Sao (3,3k)",4 Sao (63),3 Sao (33),2 Sao (12),1 Sao (15),"3,4k","Có Bình luận (1,4k)","Có hình ảnh / video (1,1k)"
14,Quần Jogger Nam Nữ Trơn Basic Thun Poly Phong Cách Thể Dục Thể Thao Năng Động Cá Tính Unisex ANH DUY SHOP JGV19,₫85.000,None,Thời Trang Nam/Quần Dài/Quần Âu/Quần Jogger,29k,2893,4.9,"5 Sao (8,8k)",4 Sao (409),3 Sao (45),2 Sao (12),1 Sao (11),"9,3k",Có Bình luận (4k),"Có hình ảnh / video (2,8k)"
15,"Áo sơ mi nam ROWAY vải lụa thoáng mát, form regular, Sơ mi họa tiết summer",₫189.000,ROWAY,Thời Trang Nam/Áo/Áo Sơ Mi,"9,7k",148,4.9,"5 Sao (3,2k)",4 Sao (138),3 Sao (29),2 Sao (8),1 Sao (8),"3,4k","Có Bình luận (1,4k)","Có hình ảnh / video (1,1k)"
16,Áo thun nam Polo cổ bẻ tay ngắn 4 màu trơn đơn giản,₫154.000,None,Thời Trang Nam/Áo/Áo Polo,124,71941,4.8,5 Sao (38),4 Sao (2),3 Sao (1),2 Sao (0),1 Sao (1),42,Có Bình luận (21),Có hình ảnh / video (12)
17,Quần thun đen ống rộng ống suông baggy nam nữ PHong cách unisex - vải co giãn tốt quần ulzzang,₫114.000,None,Thời Trang Nam/Quần Dài/Quần Âu/Quần Dài,"25,3k",1287147,4.8,"5 Sao (9,2k)",4 Sao (576),3 Sao (227),2 Sao (77),1 Sao (137),"10,2k","Có Bình luận (5,4k)",Có hình ảnh / video (4k)
18,"Quần jean nam Baggy phom suông rộng, quần bò nam ống đứng hottrend hàn quốc",₫27.800 - ₫139.000,None,Thời Trang Nam/Quần Jeans,"2,1k",124977,4.6,5 Sao (4),4 Sao (0),3 Sao (1),2 Sao (0),1 Sao (0),5,Có Bình luận (4),Có hình ảnh / video (4)
19,[GIÁ SỐC] SƠ MI NAM THIẾT KẾ CHẤT ĐẸP - KIỂU DÁNG HOT TREND HÀN QUỐC- TAY NGẮN KIỂU,₫127.000,None,Thời Trang Nam/Áo/Áo Sơ Mi,47,314,4.2,5 Sao (10),4 Sao (0),3 Sao (0),2 Sao (2),1 Sao (1),13,Có Bình luận (6),Có hình ảnh / video (3)
20,"Bộ Nỉ Nam ROUGH Chất Nỉ Da Cá, Dày Dặn, Trẻ Trung Năng Động",₫150.000,Rough,Thời Trang Nam/Đồ Bộ,23k,None,4.9,"5 Sao (7,5k)",4 Sao (455),3 Sao (176),2 Sao (45),1 Sao (70),"8,2k","Có Bình luận (4,5k)","Có hình ảnh / video (3,4k)"
21,Áo Thun Nam Polo Đơn Giản Y2010 Ngân Hà 4 Element Ver10 20329,₫255.000,Y2010,Thời Trang Nam/Áo/Áo Polo,185,23,5.0,5 Sao (62),4 Sao (1),3 Sao (0),2 Sao (0),1 Sao (0),63,Có Bình luận (21),Có hình ảnh / video (13)
22,Quần Dài Ống Rộng Phong Cách Hip Hop Thời Trang Đường Phố Cá Tính,₫132.000 - ₫193.000,None,Thời Trang Nam/Quần Dài/Quần Âu/Quần Dài,304,None,4.6,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),84,Có Bình luận (0),Có hình ảnh / video (0)
23,"[HÀNG CAO CẤP] Áo sơ mi nam dài tay dáng ôm hàn quốc vải oxford thoáng mát thấm hút mồ hôi,chống nhăn SM001",₫175.000,None,Thời Trang Nam/Áo/Áo Sơ Mi,7k,587,4.9,"5 Sao (1,9k)",4 Sao (111),3 Sao (46),2 Sao (10),1 Sao (13),"2,1k",Có Bình luận (909),Có hình ảnh / video (628)
24,"Áo sơ mi nam dài tay cao cấp : Chất liệu lụa mềm mịn , kiểu dáng Hàn Quốc không nhăn, không xù , thấm hút mồ hôi",₫79.000,None,Thời Trang Nam/Áo/Áo Sơ Mi,"7,7k",131432,4.8,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),2k,Có Bình luận (0),Có hình ảnh / video (0)
25,Quần jean nam xanh wash basic Form Slim Fit tôn dáng đẹp không bó 38,₫420.000,None,Thời Trang Nam/Quần Jeans,111,1184,5.0,5 Sao (36),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),36,Có Bình luận (26),Có hình ảnh / video (10)
26,Quần dài chất liệu vải đũi mềm nhẹ và thoáng mát thời trang nam kynn shop,₫109.000,None,Thời Trang Nam/Quần Dài/Quần Âu/Quần Dài,157,1,4.9,5 Sao (55),4 Sao (2),3 Sao (2),2 Sao (0),1 Sao (0),59,Có Bình luận (24),Có hình ảnh / video (21)
27,"Quần short nam, Quần đùi jean nam cao cấp giá rẻ jean nam ngắn đẹp nhiều mẫu hottrend hàn quốc 2022 Tenji7 Shop",₫109.000 - ₫119.000,None,Thời Trang Nam/Quần Short/Quần Đùi/Quần Short,"2,9k",168,4.9,5 Sao (485),4 Sao (25),3 Sao (11),2 Sao (1),1 Sao (6),528,Có Bình luận (280),Có hình ảnh / video (133)
28,"Bộ nỉ nam thu đông dáng thể thao có big size 115kg, Bộ thể thao nam hàng xuất dư co giãn mềm mịn không bai xù Fox",₫269.000 - ₫365.000,None,Thời Trang Nam/Đồ Bộ,1k,55530,4.8,5 Sao (314),4 Sao (18),3 Sao (6),2 Sao (2),1 Sao (6),346,Có Bình luận (172),Có hình ảnh / video (131)
29,"Quần Jogger nam nữ thể thao chất xốp, Jogger unisex dài phong cách trẻ trung JO05 - PROMAN",₫85.000,None,Thời Trang Nam/Quần Dài/Quần Âu/Quần Jogger,"3,2k",29512,4.6,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),619,Có Bình luận (0),Có hình ảnh / video (0)
30,"(Hàng Xuất Xịn) Quần đùi nam, Quần Đũi Nam ( Mát - Nhẹ Như Không)",₫46.000 - ₫59.000,None,Thời Trang Nam/Quần Short/Quần Đùi/Quần Short,"120,7k",9876,4.8,"5 Sao (22,9k)","4 Sao (1,7k)",3 Sao (669),2 Sao (219),1 Sao (292),"25,8k","Có Bình luận (12,5k)","Có hình ảnh / video (9,5k)"
31,Áo Khoác Jean Không Tay Thời Trang Dành Cho Nam,₫324.000,None,Thời Trang Nam/Quần Jeans,7,8972,5.0,5 Sao (6),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),4,Có Bình luận (4),Có hình ảnh / video (2)
32,"Áo thun nam nữ tay lỡ SHIN, áo phông cotton form rộng unisex oversize streetwear",₫65.000,None,Thời Trang Nam/Áo/Áo Thun,168,9965,4.7,5 Sao (9),4 Sao (2),3 Sao (1),2 Sao (0),1 Sao (0),12,Có Bình luận (10),Có hình ảnh / video (5)
33,Áo sơ mi nam đũi dài tay cổ bẻ BAT STORE chất liệu đũi xước co giãn mát mặc nhẹ dáng trẻ trung,₫129.000,BAT STORE,Thời Trang Nam/Áo/Áo Sơ Mi,"3,7k",36549,4.9,5 Sao (982),4 Sao (46),3 Sao (21),2 Sao (6),1 Sao (6),"1,1k",Có Bình luận (525),Có hình ảnh / video (422)
34,Áo polo LEVENTS Stripe 1:1,₫119.000,None,Thời Trang Nam/Áo/Áo Polo,"2,6k",2592,4.6,5 Sao (525),4 Sao (50),3 Sao (27),2 Sao (13),1 Sao (29),644,Có Bình luận (231),Có hình ảnh / video (92)
35,Áo sơ mi nam nữ dài tay Unisex Basic màu trắng và đen sơ mi lụa học sinh mịn mát,₫81.000 - ₫99.000,None,Thời Trang Nam/Áo/Áo Sơ Mi,"18,4k",138789,4.8,"5 Sao (3,3k)",4 Sao (209),3 Sao (124),2 Sao (20),1 Sao (70),"3,8k","Có Bình luận (1,6k)","Có hình ảnh / video (1,1k)"
36,Áo thun Polo cao cấp thời trang nam One 39 one shop,₫159.000,None,Thời Trang Nam/Áo/Áo Polo,160,257,4.8,5 Sao (57),4 Sao (6),3 Sao (1),2 Sao (1),1 Sao (0),65,Có Bình luận (38),Có hình ảnh / video (32)
37,Quần Nỉ Suông Tăm Cao cấp Unisex Local Brand ZONEF OFFICIAL,₫149.000,None,Thời Trang Nam/Quần Dài/Quần Âu/Quần Dài,"2,6k",8887,4.8,5 Sao (528),4 Sao (50),3 Sao (14),2 Sao (4),1 Sao (6),602,Có Bình luận (243),Có hình ảnh / video (177)
38,"Quần jean ống rộng nam màu xanh, quần bò ống rộng nam _ jean dày",₫159.000 - ₫169.000,None,Thời Trang Nam/Quần Jeans,5k,13954,4.8,"5 Sao (1,5k)",4 Sao (89),3 Sao (28),2 Sao (13),1 Sao (20),"1,7k",Có Bình luận (799),Có hình ảnh / video (636)
39,[Mã BMLT30 giảm đến 30K đơn 299K] Ninomaxx Áo thun thời trang Nam tay ngắn chất cotton pha spandex 2012018,₫164.500,NINOMAXX,Thời Trang Nam/Áo/Áo Thun,6,53,5.0,5 Sao (4),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),4,Có Bình luận (1),Có hình ảnh / video (1)
40,ÁO THUN BIG SS socola CHUOTTRANG,₫380.000,None,Thời Trang Nam/Áo/Áo Thun,304,23,5.0,5 Sao (83),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (1),84,Có Bình luận (30),Có hình ảnh / video (29)
41,"Quần Jean ống suông, dáng ôm vừa, chất liệu Jean dày dặn - Snomad",₫179.000,None,Thời Trang Nam/Quần Jeans,"12,1k",None,4.8,"5 Sao (3,2k)",4 Sao (249),3 Sao (83),2 Sao (33),1 Sao (68),"3,7k","Có Bình luận (1,6k)","Có hình ảnh / video (1,1k)"
