,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video
0,Bộ Quần Áo Mặc Nhà Thể Thao Nam Mùa Hè Phong Cách Cao Cấp ZERO,₫175.000,ZERO,Thời Trang Nam/Đồ Bộ,"69,2k",133,4.9,"5 Sao (23,5k)",4 Sao (759),3 Sao (249),2 Sao (64),1 Sao (119),"24,7k","Có Bình luận (13,7k)",Có hình ảnh / video (11k)
1,Áo Sơ Mi Nhung Gân Nam Nữ màu xanh rêu form rộng Thêu chữ SIMPLE THINGS ( hàng đặt may),₫159.000,None,Thời Trang Nam/Áo/Áo Sơ Mi,"2,2k",368,4.9,5 Sao (606),4 Sao (25),3 Sao (6),2 Sao (1),1 Sao (2),640,Có Bình luận (303),Có hình ảnh / video (210)
2,Áo Thun Levents XL Logo Lấp lánh/ Black,₫315.000,LEVENTS,Thời Trang Nam/Áo/Áo Thun,"8,5k",392,4.9,"5 Sao (3,4k)",4 Sao (100),3 Sao (35),2 Sao (11),1 Sao (24),"3,5k","Có Bình luận (1,8k)","Có hình ảnh / video (1,6k)"
3,Quần Âu Thoms Thêu 3 Sọc,₫132.000,None,Thời Trang Nam/Quần Dài/Quần Âu/Quần Âu,490,4343,4.8,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),133,Có Bình luận (0),Có hình ảnh / video (0)
4,Áo Thun Levents Popular Logo Tee/ Dark Teal,₫296.000,LEVENTS,Thời Trang Nam/Áo/Áo Thun,"10,8k",169,4.9,"5 Sao (4,4k)",4 Sao (115),3 Sao (45),2 Sao (25),1 Sao (23),"4,6k","Có Bình luận (2,4k)","Có hình ảnh / video (2,1k)"
5,Áo Thun Unisex Form Rộng Tay Lỡ Oversize NOCTURNAL Tee Nightlife Maniacs Cotton 100% Local Brand,₫169.000,NOCTURNAL	,Thời Trang Nam/Áo/Áo Thun,"17,9k",215,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),"7,6k",Có Bình luận (0),Có hình ảnh / video (0)
6,"Áo thun nam tay lỡ basic, áo thun trơn TAY LỠ màu trắng - đen basic FEENY STORE",₫24.750 - ₫72.000,None,Thời Trang Nam/Áo/Áo Thun,"3,9k",7561,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),776,Có Bình luận (0),Có hình ảnh / video (0)
7,Quần âu nam cạp chun ống suông co dãn Hàn Quốc phong cách ulzzang,₫96.000 - ₫139.000,None,Thời Trang Nam/Quần Dài/Quần Âu/Quần Âu,"4,2k",116062,4.8,5 Sao (1k),4 Sao (74),3 Sao (33),2 Sao (4),1 Sao (8),"1,1k",Có Bình luận (494),Có hình ảnh / video (307)
8,Áo Polo nam Thom Trơn Lịch Lãm Chất Cotton - Áo Polo Thời Trang Nam Cao Cấp,₫216.000,None,Thời Trang Nam/Áo/Áo Polo,24,1018,4.1,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),9,Có Bình luận (0),Có hình ảnh / video (0)
9,"Quần jean nam Baggy phom suông ,Quần bò nam nữ dáng đứng vải jeans bò cao cấp hottrend hàn quốc 2022",₫25.800 - ₫129.000,None,Thời Trang Nam/Quần Jeans,3k,174964,4.3,5 Sao (41),4 Sao (11),3 Sao (2),2 Sao (2),1 Sao (5),61,Có Bình luận (22),Có hình ảnh / video (12)
10,Áo thun form rộng Paradox tay lỡ - Unisex - In hình - THE REVERIE - Màu đen trắng,₫84.790,None,Thời Trang Nam/Áo/Áo Thun,"1,5k",49747,4.8,5 Sao (399),4 Sao (37),3 Sao (19),2 Sao (6),1 Sao (5),466,Có Bình luận (189),Có hình ảnh / video (106)
