,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video
0,Giày nam - Sale kịch sàn Giày nam 2021 hàng mới về siêu chất lượng,₫135.000 - ₫139.000,None,Giày Dép Nam/Giày Thể Thao/ Sneakers,6k,488201,4.7,"5 Sao (1,5k)",4 Sao (185),3 Sao (86),2 Sao (19),1 Sao (36),"1,9k",Có Bình luận (715),Có hình ảnh / video (423)
1,Giày lười vải nam Sport Shoes thoáng khí có 2 màu,₫55.000,None,Giày Dép Nam/Giày Sục,3k,None,4.7,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),890,Có Bình luận (0),Có hình ảnh / video (0)
2,Dép nam  quai kẹp doctor cao cấp mã PN-27,₫224.000,None,Giày Dép Nam/Xăng-đan và Dép/Dép Xỏ Ngón,132,None,4.8,5 Sao (49),4 Sao (1),3 Sao (2),2 Sao (1),1 Sao (1),54,Có Bình luận (20),Có hình ảnh / video (12)
3,[HCM]Dép Thời Trang Nam Nữ EVA Đế Cao Massage Chống Trơn Chất Liệu Cao Cấp,₫39.000 - ₫62.000,None,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,899,2525,4.8,5 Sao (274),4 Sao (13),3 Sao (5),2 Sao (1),1 Sao (7),300,Có Bình luận (157),Có hình ảnh / video (126)
4,Dép Nam (6 mẫu dép nam mới nhất ảnh thật video thật),₫72.000 - ₫96.000,None,Giày Dép Nam/Xăng-đan và Dép/Dép Xỏ Ngón,"5,2k",23988,4.6,"5 Sao (1,4k)",4 Sao (104),3 Sao (70),2 Sao (43),1 Sao (80),"1,7k",Có Bình luận (748),Có hình ảnh / video (482)
5,"Dép nam nữ kiểu dáng Sport, mầu sắc đa dạng, siêu êm phong cách thể thao trẻ trung DP11",₫53.000,None,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,"1,7k",30903,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),529,Có Bình luận (0),Có hình ảnh / video (0)
6,"Dép Nam Nữ, Dép Quai Ngang ChốngTrơn Trượt Đế Cao Su DP65",₫57.000 - ₫100.000,None,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,"2,2k",33384,4.7,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),558,Có Bình luận (0),Có hình ảnh / video (0)
7,FREE SHIP Dép nam nữ HM chữ H quai da đế cao su thời trang,₫30.000 - ₫75.000,None,Giày Dép Nam/Xăng-đan và Dép/Khác,340,34605,4.6,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),105,Có Bình luận (0),Có hình ảnh / video (0)
8,Giày công sở nam da bò mềm cao cấp ảnh thật,₫270.000 - ₫288.000,None,Giày Dép Nam/Giày Tây Lười,107,466,4.6,5 Sao (31),4 Sao (4),3 Sao (1),2 Sao (1),1 Sao (2),39,Có Bình luận (11),Có hình ảnh / video (6)
9,DÉP NHỰA TIỀN PHONG,₫55.000,None,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,58,21949,4.6,5 Sao (13),4 Sao (1),3 Sao (1),2 Sao (0),1 Sao (1),16,Có Bình luận (8),Có hình ảnh / video (6)
10,[FreeShip] [Hàng Siêu Hiếm] Giày nam da lộn AK 5851,₫320.000,None,Giày Dép Nam/Giày Tây Lười,627,846,4.8,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),248,Có Bình luận (0),Có hình ảnh / video (0)
11,Dép unisex 2 quai ngang dán fashion phong cách ulzzang Hàn Quốc siêu HOT TGG-01,₫50.000 - ₫79.000,None,Giày Dép Nam/Xăng-đan và Dép/Khác,"10,4k",3886,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),"3,9k",Có Bình luận (0),Có hình ảnh / video (0)
12,"Giày Nam Da Bò LEX - 21 , Giày Da Nam Trung Niên Cao Cấp",₫55.000 - ₫269.000,None,Giày Dép Nam/Giày Tây Lười,"1,7k",11209,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),476,Có Bình luận (0),Có hình ảnh / video (0)
