,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video
0,Dầu gội xả collagen MORGARJI 800ml * 2 kiềm dầu chống lão hóa da đầu phục hồi nang tóc siêu mềm mượt hàng chính hãng,₫356.000,Karseell,Sắc Đẹp/Chăm sóc tóc/Dầu gội,196,367,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),15,Có Bình luận (0),Có hình ảnh / video (0)
1,Sữa rửa mặt làm sáng da Pond's Pure Bright/ Bright Beauy/ Acne Clear 100g,₫69.000,Pond’s,Sắc Đẹp/Chăm sóc da mặt/Sữa rửa mặt,"17,9k",1650,4.9,"5 Sao (6,4k)",4 Sao (135),3 Sao (47),2 Sao (11),1 Sao (43),"6,6k","Có Bình luận (2,9k)","Có hình ảnh / video (2,7k)"
2,Bông Tẩy Trang Lily Bell Lilian Puff Cotton (222 miếng),₫51.000,Lily Bell,Sắc Đẹp/Dụng cụ & Phụ kiện Làm đẹp/Dụng cụ trang điểm,"9,7k",220,5.0,"5 Sao (1,5k)",4 Sao (36),3 Sao (6),2 Sao (0),1 Sao (5),"1,6k",Có Bình luận (949),Có hình ảnh / video (900)
3,A'DDICT Nước hoa khô Naked dạng tuýp 30ml,₫580.000 - ₫650.000,A'ddict,Sắc Đẹp/Nước hoa/Unisex,572,2093,4.9,5 Sao (144),4 Sao (6),3 Sao (2),2 Sao (2),1 Sao (0),154,Có Bình luận (108),Có hình ảnh / video (94)
4,Bộ chăm sóc da mụn và tẩy tế bào chết TinyBean,₫635.000 - ₫1.025.000,None,Sắc Đẹp/Chăm sóc da mặt/Khác,49,8,4.9,5 Sao (13),4 Sao (1),3 Sao (0),2 Sao (0),1 Sao (0),14,Có Bình luận (10),Có hình ảnh / video (10)
5,Cây Lăn Mặt Hàn Quốc Oem Massage 3D Hàn Quốc Oem cao cấp,₫35.000,None,Sắc Đẹp/Dụng cụ & Phụ kiện Làm đẹp/Dụng cụ chăm sóc da mặt,49,98,4.6,5 Sao (8),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (1),9,Có Bình luận (8),Có hình ảnh / video (6)
6,[Record of Soft Universe Version ] Bảng mắt 3ce 9 ô Mood Recipe Multi Eyes color,₫550.000,None,Sắc Đẹp/Trang điểm/Trang điểm mắt,2,2,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),1,Có Bình luận (0),Có hình ảnh / video (0)
7,Dầu gội phủ bạc laco black hair 200ml [date 2025],₫137.000,None,Sắc Đẹp/Chăm sóc tóc/Thuốc nhuộm tóc,"2,2k",1052,4.8,5 Sao (410),4 Sao (26),3 Sao (11),2 Sao (1),1 Sao (5),453,Có Bình luận (262),Có hình ảnh / video (204)
8,Nước tẩy trang La Roche Posay Dành cho da dầu và da nhạy cảm⚡ Chính Hãng ⚡,₫315.000 - ₫330.000,La Roche-Posay,Sắc Đẹp/Trang điểm/Tẩy trang,167,1059,5.0,5 Sao (43),4 Sao (0),3 Sao (1),2 Sao (0),1 Sao (0),44,Có Bình luận (16),Có hình ảnh / video (16)
9,Sữa rửa mặt tạo bọt chiết xuất tơ tằm trắng Senka Perfect Whip 120g_70227,₫72.000,SENKA,Sắc Đẹp/Chăm sóc da mặt/Sữa rửa mặt,"129,4k",2483,4.9,"5 Sao (51,1k)","4 Sao (1,4k)",3 Sao (453),2 Sao (183),1 Sao (304),"53,4k","Có Bình luận (26,5k)","Có hình ảnh / video (24,2k)"
10,Kem nở ngực upsize tăng vòng 1 hiệu quả chăm sóc ngực hồng nhũ hoa săn chắc vòng 1(có che tên) - LDstore,₫199.500 - ₫499.500,None,Sắc Đẹp/Tắm & chăm sóc cơ thể/Chăm sóc ngực,582,4618,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),152,Có Bình luận (0),Có hình ảnh / video (0)
11,[Mã BMLT30 giảm đến 30K đơn 299K] Dầu Xả Dược Liệu Gừng Đỏ DEGO PHARMA 250ml Phục Hồi Tóc Hư Tổn & Giảm Rụng Tóc,₫195.000,+DEGOPHARMA,Sắc Đẹp/Chăm sóc tóc/Dầu xả,65,22914,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),16,Có Bình luận (0),Có hình ảnh / video (0)
12,Toner Klairs Không Mùi - Nước hoa hồng Klairs Supple Preparation Facial Toner 180ml cho da nhạy cảm,₫245.000 - ₫250.000,Klairs,Sắc Đẹp/Chăm sóc da mặt/Nước cân bằng da,177,1007,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),61,Có Bình luận (0),Có hình ảnh / video (0)
13,Mặt Nạ Thuỷ Tinh Dr. Lacir Glutathion Hộp 6 Miếng Cấp Ẩm Dưỡng Da Căng Bóng Trắng Mịn Chống Lão Hóa,₫47.000 - ₫229.000,None,Sắc Đẹp/Chăm sóc da mặt/Mặt nạ,116,199985,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),60,Có Bình luận (0),Có hình ảnh / video (0)
14,[Mã BMLTM50 giảm đến 50K đơn 99K] (Quà Tặng) Bông tẩy trang 3 lớp Cotton Pad 222 miếng,₫22.999,None,Sắc Đẹp/Dụng cụ & Phụ kiện Làm đẹp/Dụng cụ trang điểm,"6,8k",3272,4.9,5 Sao (917),4 Sao (47),3 Sao (13),2 Sao (5),1 Sao (4),986,Có Bình luận (730),Có hình ảnh / video (676)
15,Kem thảo dược Tamy ( chính hãng ),₫180.000,None,Sắc Đẹp/Chăm sóc da mặt/Kem dưỡng ẩm,472,811,5.0,5 Sao (127),4 Sao (2),3 Sao (0),2 Sao (0),1 Sao (0),129,Có Bình luận (83),Có hình ảnh / video (69)
16,[Mã BMLT30 giảm đến 30K đơn 299K] Sáp Vuốt Tóc nam Aurane Cool Stylish Clay 80ml,₫99.000,AURANÉ,Sắc Đẹp/Chăm sóc tóc/Sản phẩm tạo kiểu tóc,"1,3k",126,4.9,5 Sao (340),4 Sao (18),3 Sao (3),2 Sao (2),1 Sao (0),363,Có Bình luận (169),Có hình ảnh / video (133)
17,"SET 6 CHAI NƯỚC HOA MINI 6ml, ĐỦ MÙI HƯƠNG PHÙ HỢP CHO CẢ NAM VÀ NỮ",₫28.000,None,Sắc Đẹp/Nước hoa/Unisex,"2,6k",1637,4.4,5 Sao (555),4 Sao (84),3 Sao (62),2 Sao (18),1 Sao (40),759,Có Bình luận (381),Có hình ảnh / video (197)
18,Tinh chất hỗ trợ giảm mụn FOCALSKIN trong suốt làm trắng da 15ml / 30ml,₫184.000 - ₫295.000,Focalskin,Sắc Đẹp/Chăm sóc da mặt/Tinh chất dưỡng,367,7635,5.0,5 Sao (301),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),298,Có Bình luận (288),Có hình ảnh / video (36)
19,Thuốc nhuộm tóc ĐỎ RƯỢU VANG không tẩy KENZII | Thuốc nhuộm tóc màu ĐỎ RƯỢU VANG,₫36.000 - ₫130.000,None,Sắc Đẹp/Chăm sóc tóc/Thuốc nhuộm tóc,313,526,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),51,Có Bình luận (0),Có hình ảnh / video (0)
20,"Thuốc nhuộm tóc Thái Lan Berina A1 màu đen, A2 màu nâu",₫29.000 - ₫32.000,None,Sắc Đẹp/Chăm sóc tóc/Thuốc nhuộm tóc,"8,6k",6034,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),"2,2k",Có Bình luận (0),Có hình ảnh / video (0)
21,Thuốc tẩy tóc KARSEELL - ELGON tặng trợ nhuộm chính hãng không đứt gãy tóc | bột tẩy tóc Karseell tẩy êm không xót,₫46.000 - ₫120.000,Karseell,Sắc Đẹp/Chăm sóc tóc/Thuốc nhuộm tóc,464,4291,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),179,Có Bình luận (0),Có hình ảnh / video (0)
22,Tinh dầu dưỡng tóc Raip Argan Hair Oil R3 100ml,₫85.000,RAIP,Sắc Đẹp/Chăm sóc tóc/Dưỡng tóc,"4,1k",5760,4.9,"5 Sao (1,1k)",4 Sao (35),3 Sao (7),2 Sao (4),1 Sao (1),"1,2k",Có Bình luận (658),Có hình ảnh / video (590)
23,"(PHIÊN BẢN MỚI) Tẩy tế bào chết cơ thể BButter Giảm mụn, Mờ thâm, sần Vòng 3 và Nách B.butter Body Mask",₫148.000 - ₫249.000,None,Sắc Đẹp/Tắm & chăm sóc cơ thể/Tẩy tế bào chết cơ thể,"3,4k",None,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),1k,Có Bình luận (0),Có hình ảnh / video (0)
24,"Nước Hoa Nam Amour Bad Boy Plus Nguyên Liệu Nhập Pháp Hương Thơm Ngọt Ngào, Bí Ẩn, Lôi Cuốn - Dạng Xịt",₫39.000,a:mour,Sắc Đẹp/Nước hoa/Nam,5k,None,4.8,"5 Sao (1,4k)",4 Sao (147),3 Sao (30),2 Sao (8),1 Sao (3),"1,6k",Có Bình luận (695),Có hình ảnh / video (457)
25,Tinh Dầu Dưỡng Tóc thơm lâu phục hồi tóc hư tổn Agillse Argan Oil 80ml hàng chính hãng N01,₫50.000,None,Sắc Đẹp/Chăm sóc tóc/Dưỡng tóc,102,392,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),58,Có Bình luận (0),Có hình ảnh / video (0)
26,Miếng dán mụn DERMA ANGEL dùng cho cả ngày (12 miếng ngày + 6 miếng đêm),₫65.500,Derma Angel,Sắc Đẹp/Chăm sóc da mặt/Sản phẩm trị mụn,"6,2k",25,4.9,"5 Sao (1,3k)",4 Sao (43),3 Sao (16),2 Sao (6),1 Sao (8),"1,4k",Có Bình luận (814),Có hình ảnh / video (754)
27,"Máy triệt lông mini vĩnh viễn cầm tay Lescolton tẩy lông nách, lông tay, chân, lông Bikini tại nhà",₫85.000,LESCOL TON,Sắc Đẹp/Dụng cụ & Phụ kiện Làm đẹp/Dụng cụ tẩy lông,"2,2k",None,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),532,Có Bình luận (0),Có hình ảnh / video (0)
28,Máy cạo râu Philips PQ206 - May cao rau cao cap - Kho may cao rau,₫370.000,PHILIPS,Sắc Đẹp/Chăm sóc nam giới/Sản phẩm cạo râu & hớt tóc,75,10,4.5,5 Sao (14),4 Sao (2),3 Sao (2),2 Sao (0),1 Sao (1),19,Có Bình luận (14),Có hình ảnh / video (9)
29,Gel bôi mụn trứng cá T3 Mycin 25g - Chính hãng,₫79.000 - ₫85.000,AICHA,Sắc Đẹp/Chăm sóc da mặt/Khác,5,17,4.0,5 Sao (1),4 Sao (0),3 Sao (1),2 Sao (0),1 Sao (0),2,Có Bình luận (1),Có hình ảnh / video (1)
30,Kem chống nắng PESTLO Safe Recipe Sun Essence SPF50 PA++++ 50ml,₫280.000,PESTLO,Sắc Đẹp/Chăm sóc da mặt/Kem chống nắng cho mặt,"6,4k",3554,5.0,"5 Sao (1,9k)",4 Sao (34),3 Sao (9),2 Sao (8),1 Sao (3),"1,9k","Có Bình luận (1,4k)","Có hình ảnh / video (1,3k)"
