,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video
0,[GeekSneaker] Dép Crocs Pollex By Salahe Bembury,₫435.000,None,Giày Dép Nam/Xăng-đan và Dép/Khác,498,219,4.9,5 Sao (140),4 Sao (4),3 Sao (0),2 Sao (0),1 Sao (3),147,Có Bình luận (64),Có hình ảnh / video (51)
1,"Giày trung niên da bò nguyên tấm,giày công sở nam đế kếp có khâu đế (Bảo Hành Da 12 Tháng)",₫349.000,None,Giày Dép Nam/Giày Tây Lười,23,1199983,5.0,5 Sao (13),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),13,Có Bình luận (9),Có hình ảnh / video (7)
2,"Dép nam kẹp tông BOSS kiểu dáng trẻ trung, sang trọng 2021",₫145.000 - ₫165.000,None,Giày Dép Nam/Xăng-đan và Dép/Dép Xỏ Ngón,60,16336,4.8,5 Sao (11),4 Sao (1),3 Sao (1),2 Sao (0),1 Sao (0),13,Có Bình luận (4),Có hình ảnh / video (2)
3,"Dép Unisex Smile-super Siêu Êm,siêu nhẹ chống trơn trượt 2021",₫50.000,None,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,73,70,4.8,5 Sao (24),4 Sao (0),3 Sao (1),2 Sao (0),1 Sao (1),26,Có Bình luận (12),Có hình ảnh / video (7)
4,Dép nam nữ unisex Vento quai ngang 1 bản FL07B màu đen,₫177.888,Vento,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,93,76,4.7,5 Sao (30),4 Sao (4),3 Sao (3),2 Sao (0),1 Sao (0),37,Có Bình luận (17),Có hình ảnh / video (13)
5,"Dép quai ngang nam, nữ siêu nhẹ DUWA - Hàng chính hãng - TRẮNG SH9024",₫68.000,Duwa,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,"5,1k",1110,4.9,"5 Sao (1,8k)",4 Sao (83),3 Sao (19),2 Sao (4),1 Sao (16),"1,9k",Có Bình luận (913),Có hình ảnh / video (735)
6,Dép PUMA Nam nữ ( tặng hộp ),₫129.000,None,Giày Dép Nam/Xăng-đan và Dép/Khác,"1,4k",2551,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),496,Có Bình luận (0),Có hình ảnh / video (0)
7,DÉP GÀ ĐỒNG XU BITAS - HÀNG LOẠI 1,₫135.000 - ₫179.000,None,Giày Dép Nam/Xăng-đan và Dép/Khác,96,304,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),27,Có Bình luận (0),Có hình ảnh / video (0)
8,Dép nam nữ quai ngang slipper Pathon PVC đế PU đen quai xám Mẫu SD24,₫149.000 - ₫179.000,None,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,"1,4k",None,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),453,Có Bình luận (0),Có hình ảnh / video (0)
9,Dép Eva Phun Nam Biti's DEM010400XAM (Xám),₫124.000,Biti's,Giày Dép Nam/Xăng-đan và Dép/Dép Xỏ Ngón,98,224,4.7,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),27,Có Bình luận (0),Có hình ảnh / video (0)
