,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video
0,"[Mã BMLT35 giảm đến 35K đơn 99K] áo len nữ silive Áo len gấu túi ngực, chất len dày dặn dễ phối đồ",₫260.000,SILIVE STORE WEEKLY PRODUCE DELTVERY,Thời Trang Nữ/Áo len & Cardigan,250,0,5.0,5 Sao (16),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),16,Có Bình luận (6),Có hình ảnh / video (6)
1,Áo Len Nam Cổ Lọ Lông Cừu Cao Cấp Dày Dặn Mềm Mịn Cực Ấm Kiểu Dáng Hàn Quốc Form Rộng Faviti,₫40.000 - ₫139.000,None,"Thời Trang Nam/Áo Hoodie, Áo Len & Áo Nỉ/Áo Len","89,1k",6054,4.8,"5 Sao (26,9k)","4 Sao (1,9k)",3 Sao (699),2 Sao (208),1 Sao (351),30k,"Có Bình luận (13,7k)","Có hình ảnh / video (9,2k)"
2,Áo Sweater Dệt Kim Tay Dài Cổ Tròn Màu Sắc Ngọt Ngào Thời Trang Cho Nữ,₫161.074 - ₫309.757,None,Thời Trang Nữ/Áo len & Cardigan,58,31497,4.2,5 Sao (12),4 Sao (3),3 Sao (2),2 Sao (0),1 Sao (2),19,Có Bình luận (7),Có hình ảnh / video (2)
3,"Áo Len Vặn Thừng Trơn Màu Pastel Cao Cấp Nhẹ Nhàng, Áo Len Cổ V Chất Vải Mềm Nhẹ phong cách Hàn Quốc",₫164.000 - ₫224.000,None,Thời Trang Nữ/Áo len & Cardigan,"1,5k",12432,4.8,5 Sao (406),4 Sao (29),3 Sao (17),2 Sao (3),1 Sao (7),462,Có Bình luận (312),Có hình ảnh / video (260)
4,Áo len AOKANG tay dài thời trang dành cho nam,₫161.000,None,"Thời Trang Nam/Áo Hoodie, Áo Len & Áo Nỉ/Áo Len",495,None,4.6,5 Sao (126),4 Sao (13),3 Sao (5),2 Sao (4),1 Sao (5),153,Có Bình luận (84),Có hình ảnh / video (56)
5,Áo len dáng rộng phong cách giáng sinh thời trang thu đông mới cho nữ,₫360.324,None,Thời Trang Nữ/Áo len & Cardigan,7,17995,4.8,5 Sao (4),4 Sao (1),3 Sao (0),2 Sao (0),1 Sao (0),5,Có Bình luận (3),Có hình ảnh / video (3)
6,Áo len nam cổ tròn màu rêu chất liệu len dệt cao cấp dáng slim phù hợp với nhiều lứa tuổi,₫145.000,None,"Thời Trang Nam/Áo Hoodie, Áo Len & Áo Nỉ/Áo Len",356,486,4.9,5 Sao (127),4 Sao (9),3 Sao (3),2 Sao (2),1 Sao (0),141,Có Bình luận (77),Có hình ảnh / video (43)
7,Áo len tăm cổ lọ áo len cao cổ giữ nhiệt nhiều màu cho nữ hàng quảng châu cao cấp a556,₫68.000 - ₫78.000,None,"Thời Trang Nữ/Áo khoác, Áo choàng & Vest/Áo khoác mùa đông & Áo choàng","2,7k",56907,4.9,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),935,Có Bình luận (0),Có hình ảnh / video (0)
8,Áo cadigan len lông thỏ phong cách Hàn Quốc,₫175.000,None,Thời Trang Nữ/Áo len & Cardigan,28,551,5.0,5 Sao (0),4 Sao (0),3 Sao (0),2 Sao (0),1 Sao (0),7,Có Bình luận (0),Có hình ảnh / video (0)
9,Áo Len Cổ Lọ SZone Phong Cách Hàn Quốc Siêu Ấm - Đủ Màu Đủ Size - SAL222,₫139.000,SZone,"Thời Trang Nam/Áo Hoodie, Áo Len & Áo Nỉ/Áo Len",100,4059,4.8,5 Sao (25),4 Sao (3),3 Sao (0),2 Sao (1),1 Sao (0),29,Có Bình luận (13),Có hình ảnh / video (6)
